Big trees,,2014-04-03,,,,,,,,,,,,,
,largest DBH of species in orange,,,,,,,,,,,,,,
ID,species,latitude,longitude,dbh (cm),dia. (in.),date measured,est. height (m),est. height (ft.),est. ave. crown spread (m),est. ave. crown spread (ft.),date measured,"""points""",Notes:,GUID (if assigned),
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
,,,,,0.0,,,0,,0,,0,,,
